"Mean_AUC","Mean_pAUC_ratio_at_5.","P_value","Model"
0.643585227974666,1.23001156397078,0,"DNC-49"
0.632233665178682,1.24099096768668,0,"DNC-120"
0.64358779824901,1.26741333989279,0,"DNC-155"
0.5450503963613,1.23876780369397,0,"DNC-166"
0.70785218914979,1.21895853171875,0,"DNC-169"
0.644305413368803,1.21579513214725,0,"DNC-174"
0.679328773565481,1.30694616477788,0,"DNC-175"
0.574662829134306,1.22207203500507,0,"DNC-185"
0.675937186720146,1.29695293907605,0,"DNC-195"
0.719278527100818,1.27495088171883,0,"DNC-210"
